word	type	identifier
H	Chemical	MESH:D006859
Lactate	Chemical	MESH:D019344
H	Chemical	MESH:D006859
Na	Chemical	MESH:D012964
Lactate	Chemical	MESH:D019344
Na	Chemical	MESH:D012964
Glucose	Chemical	MESH:D005947
Glucose	Chemical	MESH:D005947
Anthracyclines	Chemical	MESH:D018943
Ara-C	Chemical	MESH:D003561
Glucose	Chemical	MESH:D005947
Glucose-6-phosphate	Chemical	MESH:D019298
Fructose-6-phosphate	Chemical	MESH:C027618
PFKP	Chemical	NA
Fructose-1,6-biphosphate	Chemical	MESH:C027652
Dihydroxyacetone	Chemical	MESH:D004098
phosphate	Chemical	MESH:D010710
DHAP	Chemical	MESH:C017202
Glyceraldehyde-3-phosphate	Chemical	MESH:D005986
1,3-biphosphoglycerate	Chemical	MESH:C015891
3-phosphoglycerate	Chemical	MESH:C005156
Phosphoenolpyruvate	Chemical	MESH:D010728
Pyruvate	Chemical	MESH:D011773
Lactate	Chemical	MESH:D019344
