word	mesh	match	name	doid
cushing syndrome	mesh:D003480	NA	NA	NA
insulin secretion	mesh:D007333	NA	NA	NA
cancer	mesh:D009369	NA	NA	NA
prostate cancer	mesh:D011471	NA	NA	NA
cancer	mesh:D009369	NA	NA	NA
porsmall cell lung cancer	mesh:D008175	NA	NA	NA
cocaine addiction	mesh:D019970	NA	NA	NA
micromas	NA	NA	NA	NA
cancer	mesh:D009369	NA	NA	NA
cancer	mesh:D009369	NA	NA	NA
infection	mesh:D007239	NA	NA	NA
pancreatic cancer	mesh:D010190	NA	NA	NA
carciomyopathy	NA	NA	NA	NA
gas disease	mesh:D011007	NA	NA	NA
alzheimer disease	mesh:D000544	NA	NA	NA
tamctipa hepatitis easi	mesh:D056486	NA	NA	NA
sclerosis	mesh:D012598	NA	NA	NA
ataxia	mesh:D001259	NA	NA	NA
endometrial cancer	mesh:D016889	NA	NA	NA
malosis	NA	NA	NA	NA
parkinson disease	mesh:D010300	NA	NA	NA
maumatoid arthritis	mesh:D001168	NA	NA	NA
bowel dease	mesh:D015212	NA	NA	NA
nomunodeficiencpatogenic escherichia	mesh:D004927	NA	NA	NA
papillomavirus infection	mesh:D030361	NA	NA	NA
diabetes mellitus	mesh:D003920	NA	NA	NA
infection	mesh:D007239	NA	NA	NA
