word	type	identifier
amino acid	Chemical	MESH:D000596
Dihydrolipoamide	Chemical	MESH:C007409
Methyl-1-hydroxybutyl-ThPP	Chemical	MESH:D013910
Valine Leucine Isoleucine	Chemical	MESH:C033166
MP-dihydrolipoamide	Chemical	MESH:C007409
MMS	Chemical	MESH:C035596
MMA	Chemical	MESH:C079575
MMA	Chemical	MESH:C079575
MMA-COA	Chemical	MESH:C479798
Coenzyme B12	Chemical	MESH:C000913
MMA-COA	Chemical	MESH:C479798
Acetyl-CoA	Chemical	MESH:D000105
Biotin	Chemical	MESH:D001710
(S)-MMA-COA	Chemical	MESH:C479798
Propionyl-CoA	Chemical	MESH:C009061
PCCA	Chemical	MESH:C075943
2-hydroxybutyrate	Chemical	MESH:D006885
Dihydrolipoamide	Chemical	MESH:C007409
Propionate	Chemical	MESH:D011422
Cysteine	Chemical	MESH:D003545
Methionine	Chemical	MESH:D008715
1-hydroxybutyl-ThPP	Chemical	MESH:D013910
Oxaloacetate	Chemical	MESH:D010071
TCA	Chemical	MESH:C000589078
Acryloyl-CoA	Chemical	MESH:C047011
Propionate	Chemical	MESH:D011422
2-ketoglutyrate	Chemical	MESH:C021591
Succinate a-ketoglutarate	Chemical	MESH:C029743
Propanoyl-dihydrolipoamide	Chemical	MESH:C007409
Propionyladenylate	Chemical	NA
Isocitrate	Chemical	MESH:D007523
Citrate	Chemical	MESH:C102006
Succinyl-CoA OGDH	Chemical	MESH:C012046
Glycine	Chemical	MESH:D005998
Serine	Chemical	MESH:C047902
Threonine	Chemical	MESH:C061951
Acetone	Chemical	MESH:D000096
CO2	Chemical	MESH:D002245
Propionyl phosphate	Chemical	MESH:C009061
3-hydroxypropionyl-CoA	Chemical	MESH:C016927
3-hydroxypropionate	Chemical	MESH:C028444
Malonate semialdehyde	Chemical	MESH:D008314
Acetyl-CoA	Chemical	MESH:D000105
Acetoacetyl	Chemical	MESH:C010667
Acetate	Chemical	MESH:D000085
hydroxy-B-methylglutaryl-CoA	Chemical	MESH:C008047
Acetoacetate	Chemical	MESH:D000090
3-hydroxybutyrate	Chemical	MESH:D020155
Lactate	Chemical	MESH:D019344
PDHB	Chemical	MESH:C050981
2-hydroxyethyl-ThPP	Chemical	MESH:C047467
Acyl-CoA	Chemical	MESH:D000214
PDHB	Chemical	MESH:C050981
PDHB	Chemical	MESH:C050981
Alanine	Chemical	MESH:D000409
Serine	Chemical	MESH:C047902
Glycine	Chemical	MESH:D005998
Cysteine	Chemical	MESH:D003545
Threonine	Chemical	MESH:C061951
Tryptophan	Chemical	NA
Palmitate	Chemical	MESH:D010168
S-acetyl-dihydro	Chemical	MESH:D013455
Malonyl-CoA	Chemical	MESH:D008316
Pyruvate	Chemical	MESH:D011773
fatty acids	Chemical	MESH:D005227
