word	mesh	match	name	doid
Immunodeficiency	mesh:D007153	NA	NA	NA
Carcinoma	mesh:D002277	Carcinoma	spindle cell carcinoma	doid:4015
Carcinoma  Carcinoma	mesh:D002277	Carcinoma	spindle cell carcinoma	doid:4015
Cell Carcinoma	mesh:C538614	NA	NA	NA
Schwannomas  Meningiomas	mesh:D009442	NA	NA	NA
Mesothelioma	mesh:D008654	NA	NA	NA
Ependymomas	mesh:D004806	NA	NA	NA
Melanomas  Renal Cell  Carcinoma	mesh:C538614	NA	NA	NA
Cataracts	mesh:D002386	cataract	Cataract	doid:83
Coloboma	mesh:D003103	NA	NA	NA
Hepatocellular Carcinoma	mesh:D006528	NA	NA	NA
Esophageal Squamous  Cell Carcinoma	mesh:D000077277	NA	NA	NA
Chorioretinal  Lung Adenocarcinoma	mesh:D000077192	lung adenocarcinoma	Adenocarcinoma of Lung	doid:3910
Hemangioendothelioma	mesh:D006390	NA	NA	NA
Atrophy	mesh:D001284	NA	NA	NA
