word	mesh	match	name	doid
Epithelial neoplasm Blau syndrome	mesh:C538157	Blau syndrome	Blau syndrome	doid:0050678
Urticaria pigmentosa Cutaneous mastocytosis	mesh:D014582	NA	NA	NA
cancer	mesh:D009369	NA	NA	NA
Cutaneous neoplasm	mesh:D018366	NA	NA	NA
Skin disease	mesh:D012871	NA	NA	NA
Palmoplantar keratodema Cutaneous necrosir Psoriasis	mesh:D011565	NA	NA	NA
Dematitis	NA	NA	NA	NA
carcinoma	mesh:D002277	Carcinoma	spindle cell carcinoma	doid:4015
SCD	mesh:C536778	NA	NA	NA
Cutaneous injury	mesh:D018366	NA	NA	NA
Epithelial neoplasm	mesh:D002277	Carcinoma	spindle cell carcinoma	doid:4015
Cutaneous squamous  cell carcinoma  Merkel cell carcinoma Lichen sclerosus Cutaneous melanoma Pruritus	mesh:D015266	Carcinoma, Merkel Cell	Merkel cell carcinoma	doid:3965
Melanosis	mesh:D008548	NA	NA	NA
Skin carcinoma	mesh:D012878	NA	NA	NA
skin cancer	mesh:D012878	NA	NA	NA
Psoriass  Exanthema	mesh:D005076	NA	NA	NA
Metastatic melanoma Sebaceous carcinoma	mesh:C538445	NA	NA	NA
Cutaneous squamous cell carcinoma	mesh:D002294	Carcinoma, Squamous Cell	skin squamous cell carcinoma	doid:3151
Skin damage	mesh:D012871	NA	NA	NA
Skin infection Epidermal hyperplasia	mesh:D006965	NA	NA	NA
Atopic dermatitis	mesh:D003876	NA	NA	NA
Skin cancer	mesh:D012878	NA	NA	NA
Atopic dermatitis	mesh:D003876	NA	NA	NA
toxicity	mesh:D064420	NA	NA	NA
rash	mesh:D005076	NA	NA	NA
Cutaneous melanoma Skin ulcer	mesh:D012883	NA	NA	NA
Nonmelanoma skin cancer	mesh:D012878	NA	NA	NA
Xeroderma pigmentosum	mesh:D014983	NA	NA	NA
Dermatitis	mesh:D003872	NA	NA	NA
Skin pigmentation	mesh:D010859	NA	NA	NA
Skin pigmentation	mesh:D010859	NA	NA	NA
Woolly hair Toxic	mesh:C536745	NA	NA	NA
Cutaneous discoloration Cutaneous neoplasm Cutaneous injury	mesh:D018366	NA	NA	NA
