word	type	identifier
Palmitoyl	Chemical	MESH:C032023
CO2H	Chemical	MESH:D002245
Ketosphngosine	Chemical	NA
L-Serine	Chemical	MESH:C047902
L-Serine	Chemical	MESH:C047902
Glucosyl Ceramide	Chemical	MESH:D005963
Glycosyl	Chemical	MESH:D017261
Ceramide	Chemical	MESH:D002518
Serine Palmitoyl	Chemical	MESH:C047210
Ceramide	Chemical	MESH:D002518
Phosphate	Chemical	MESH:D010710
Ceramide	Chemical	MESH:D002518
Ceramide	Chemical	MESH:D002518
Dihydroceramide	Chemical	MESH:C109343
Dihydroceramide	Chemical	MESH:C109343
Sphingosine	Chemical	MESH:D013110
Sphingosine	Chemical	MESH:D013110
Ceramide	Chemical	MESH:D002518
Sphingomyelin	Chemical	MESH:D013109
Sphingosine-1-phosphate	Chemical	MESH:C060506
Sphingomyelin	Chemical	MESH:D013109
Phosphoethanol	Chemical	MESH:C104363
amine	Chemical	MESH:D000588
