word	mesh	match	name	chebi
2-keto-3-deoxygluconate	mesh:C002957	2-dehydro-3-deoxy-D-gluconic acid	2-keto-3-deoxygluconate	chebi:17032
acetate	mesh:D000085	Acetates	acetate ester	chebi:47622
arginine	mesh:D001120	Arginine	arginine	chebi:29016
aspartate	mesh:D001224	NA	NA	NA
chloride	mesh:D002712	Chlorides	chloride salt	chebi:23114
Cys	mesh:D003545	Cysteine	cysteine	chebi:15356
dipeptides	mesh:D004151	Dipeptides	dipeptide	chebi:46761
Fatty Acid	mesh:D005227	Fatty Acids	fatty acid	chebi:35366
formate	mesh:D005561	NA	NA	NA
gluconate	mesh:D005942	Gluconates	gluconates	chebi:33804
glucose	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
glyceraldehyde	mesh:D005985	Glyceraldehyde	glyceraldehyde	chebi:5445
glycerol	mesh:D005990	Glycerol	glycerol	chebi:17754
Leu	mesh:D007930	Leucine	L-leucine	chebi:15603
Met	mesh:D008715	NA	NA	NA
oxalate	mesh:D010070	Oxalates	oxalate	chebi:132952
3-phosphate	mesh:D010710	NA	NA	NA
phosphate	mesh:D010710	NA	NA	NA
proline	mesh:D011392	Proline	L-proline	chebi:17203
putrescine	mesh:D011700	Putrescine	putrescine	chebi:17148
pyruvate	mesh:D011773	NA	NA	NA
ribose	mesh:D012266	NA	NA	NA
Ser	mesh:D012694	Serine	L-serine	chebi:17115
spermidine	mesh:D013095	Spermidine	spermidine	chebi:16610
Val	mesh:D014633	Valine	L-valine	chebi:16414
glutamate	mesh:D018698	NA	NA	NA
Citric Acid	mesh:D019343	NA	NA	NA
lactate	mesh:D019344	NA	NA	NA
