word	mesh	match	name	doid
NCD Cancer	mesh:D009369	NA	NA	NA
Tumors	mesh:D009369	NA	NA	NA
tumor	mesh:D009369	NA	NA	NA
Cardiac myxoma	mesh:D009232	NA	NA	NA
cartilage soft tissues	mesh:D012983	NA	NA	NA
neck tumors	mesh:D006258	Head and Neck Neoplasms	head and neck cancer	doid:11934
carcinoma	mesh:D002277	Carcinoma	spindle cell carcinoma	doid:4015
Neuroendocrine tumors lung	mesh:D018358	NA	NA	NA
Meningiomas	mesh:D008577	NA	NA	NA
Schwannoma	mesh:D009442	NA	NA	NA
Pheochromocytoma  Paraganglioma  Neuroblastoma	mesh:D010673	Pheochromocytoma	adrenal gland pheochromocytoma	doid:0050892
