word	type	identifier
Fatty acid	Chemical	MESH:D005227
Linoleic acid	Chemical	MESH:D008041
DHAP	Chemical	MESH:C017202
glucose	Chemical	MESH:D005947
DPA DHA	Chemical	MESH:C111716
Oleic acid	Chemical	MESH:D009829
Palmitic acid	Chemical	MESH:D019308
Maltotriose	Chemical	MESH:C008317
Threonic acid	Chemical	MESH:C011369
Pyruvate	Chemical	MESH:D011773
Alanine	Chemical	MESH:D000409
Fatty acid	Chemical	MESH:D005227
Acetyl-CoA	Chemical	MESH:D000105
Citrate	Chemical	MESH:C102006
TCA	Chemical	MESH:C000589078
LysOPE	Chemical	MESH:C570863
LysOPA	Chemical	MESH:C076158
L-Phenylalanine L-Tryptophan	Chemical	NA
Aspartate	Chemical	NA
Diacylglycerol	Chemical	MESH:D004075
Allopregnanolone	Chemical	MESH:D011280
Pregnanetriol Steroid	Chemical	MESH:D011279
Progesterone	Chemical	MESH:D011374
Inosine	Chemical	MESH:D007288
Glycine	Chemical	MESH:D005998
Bile acid	Chemical	MESH:D001647
Phenylalanine	Chemical	MESH:C119108
tyrosine	Chemical	NA
tryptophan	Chemical	NA
Taurine	Chemical	MESH:D013654
O-Phosphoethanolamine	Chemical	MESH:C005448
Cholestane	Chemical	MESH:D002776
25-pentol	Chemical	MESH:C025538
Taurodeoxycholic acid	Chemical	MESH:D013657
Sulfolithocholylglycine	Chemical	MESH:C018154
Serine Sphinganine Ceramide Sphingosine	Chemical	MESH:C005682
Sphingolipid	Chemical	MESH:D013107
