word	type	identifier
Amino acid	Chemical	MESH:D000596
Pyrimidines	Chemical	MESH:C030986
Gln	Chemical	MESH:C544323
AMP	Chemical	MESH:D000249
Gua	Chemical	MESH:C024829
GMP	Chemical	MESH:C068152
Arginine	Chemical	MESH:D001127
ATP	Chemical	MESH:D000255
NAD	Chemical	MESH:D009243
Amino acids	Chemical	MESH:D000596
Pentose phosphate	Chemical	MESH:D010429
anthranilate	Chemical	MESH:C031385
Trp	Chemical	MESH:C509690
Catechol	Chemical	MESH:C034221
adenine	Chemical	MESH:D000225
Gua	Chemical	MESH:C024829
guanine	Chemical	MESH:D006147
xanthine	Chemical	MESH:D019820
hypoxanthine	Chemical	MESH:D019271
glutamine	Chemical	MESH:C578860
phosphoribosyl-pyrophosphate	Chemical	MESH:D010754
ribose 5-phosphate	Chemical	MESH:C031626
xylulose-5-phosphate	Chemical	MESH:C031625
glyceraldehyde-3-phosphate	Chemical	MESH:D005986
sedoheptulose 7-phosphate	Chemical	MESH:C020495
fructose 6-phosphate	Chemical	MESH:C027618
erythrose 4-phosphate	Chemical	MESH:C026959
phosphoenolpyruvate	Chemical	MESH:D010728
Phe	Chemical	MESH:C026650
Tyr	Chemical	MESH:C042696
amino acids	Chemical	MESH:D000596
Glucose	Chemical	MESH:D005947
Glucose-6 phosphate	Chemical	MESH:D019298
Pyruvate	Chemical	MESH:D011773
TCA	Chemical	MESH:C000589078
