word	type	identifier
Chloride	Chemical	MESH:D002712
sterol	Chemical	MESH:D013261
Sterol	Chemical	MESH:D013261
Calcium	Chemical	MESH:D002118
Pyruvate	Chemical	MESH:D011773
ATP	Chemical	MESH:D000255
NADH	Chemical	MESH:D009243
Amino acid	Chemical	MESH:D000596
Sterol	Chemical	MESH:D013261
Glucose	Chemical	MESH:D005947
Carbohydrate	Chemical	MESH:D002241
Phosphatidylcholine	Chemical	MESH:D010713
Triglyceride	Chemical	MESH:D014280
Sodium	Chemical	MESH:D012964
Vitamin	Chemical	MESH:C059630
Amino acid	Chemical	MESH:D000596
Carboxylic acid	Chemical	MESH:D002264
Monocarboxylic acid	Chemical	MESH:C038797
Fatty acid	Chemical	MESH:D005227
Fatty acid	Chemical	MESH:D005227
