word	type	identifier
TRYPTOPHAN	Chemical	NA
6-Hydroxy-04	Chemical	MESH:C488436
N-Acetylistin O	Chemical	MESH:D013481
dihydroxypicolinate	Chemical	NA
Acetyl-CoA	Chemical	MESH:D000105
Carboxy-3-popropyl	Chemical	MESH:C015732
hydroxypicolin	Chemical	NA
Dihydroxy	Chemical	MESH:C516031
hydroxyphenyl	Chemical	MESH:C497826
2,4-dinobutanoate	Chemical	MESH:C082768
Acetoacetyl-CoA	Chemical	MESH:C010667
Acetylindoxy	Chemical	NA
3-Methoxy	Chemical	MESH:C470596
5-Hydroxy	Chemical	MESH:D006880
5-2-Foyethyl	Chemical	MESH:C031130
dihydroxypicolinate	Chemical	NA
13-dihydroxykymue	Chemical	MESH:C513342
Hydroxy	Chemical	MESH:D006880
(S)-3-Hydroxy	Chemical	MESH:D013455
543-Cuboxy-ogopropyl	Chemical	MESH:C573330
N-tommylkynnine	Chemical	MESH:D009584
aldehyde	Chemical	MESH:D000447
Indole	Chemical	MESH:C030374
Tryptophan	Chemical	NA
benzaldehyde	Chemical	MESH:D001547
S-Hydroxy	Chemical	MESH:D013455
Tryptophan	Chemical	NA
2,4-dboxobatanoate	Chemical	MESH:C082768
quinoline	Chemical	MESH:D011804
N	Chemical	MESH:D009584
L-Kymurenine	Chemical	MESH:C025076
3-Hydroxy	Chemical	MESH:D006880
L-tryptophan	Chemical	NA
5-Hydole	Chemical	MESH:C068492
acetaldehytle O	Chemical	MESH:D013481
2-Amino	Chemical	MESH:D000596
3-hydroxyphenyt	Chemical	MESH:C039620
N	Chemical	MESH:D009584
tryptamine	Chemical	MESH:C030820
Indolyethyldefo	Chemical	NA
Indole	Chemical	MESH:C030374
3-hydroximate	Chemical	MESH:C039620
Co 2-Oxoadipate	Chemical	MESH:C065987
Serotonin	Chemical	MESH:D012701
3-Hydroxy	Chemical	MESH:D006880
semaldehyde	Chemical	NA
3-Methyl	Chemical	MESH:C031105
2-Amino	Chemical	MESH:D000596
3-carboxyevaconate	Chemical	MESH:C039620
N-Acetyl	Chemical	MESH:C520160
2-Amino	Chemical	MESH:D000596
5-Methoxy	Chemical	MESH:C470596
Formyl-5-hydroxy	Chemical	MESH:C053858
kynunamine	Chemical	NA
Methylserotonin	Chemical	MESH:C045918
N-Hydroxy	Chemical	MESH:D009584
brylamine	Chemical	NA
cysteine	Chemical	MESH:D003545
Indole pyruvate	Chemical	MESH:C008122
Olucobnamicin	Chemical	NA
Tryptophan	Chemical	NA
Indole	Chemical	MESH:C030374
3-acetonitrile	Chemical	MESH:C032159
Quinolinate	Chemical	MESH:D017378
2-Amino	Chemical	MESH:D000596
phenol	Chemical	MESH:D010636
21103-Methoxy	Chemical	MESH:C470596
Picolinate	Chemical	MESH:C030614
Methoxy	Chemical	MESH:C470596
Hydroxyindole	Chemical	MESH:C510549
acetylglycine	Chemical	MESH:C006368
Melatonin	Chemical	MESH:D008550
Indole	Chemical	MESH:C030374
3-acetaldorime	Chemical	MESH:C039620
Indole	Chemical	MESH:C030374
3-acetamide	Chemical	MESH:C030686
Indole	Chemical	MESH:C030374
3-acetaldehyde 111190	Chemical	MESH:D000079
3-Dihydroxyindole	Chemical	MESH:C033871
O Canavaliniate	Chemical	MESH:D013481
O leophane	Chemical	MESH:D013481
Fomyl-N-etyl	Chemical	MESH:D009584
5-methoxykynnamine	Chemical	MESH:C068492
Indole	Chemical	MESH:C030374
Aminobenzoate	Chemical	MESH:D062365
indol-3-0	Chemical	MESH:C054224
Benzoate	Chemical	MESH:D001565
Indole acetate	Chemical	MESH:C030374
Nicotinamide	Chemical	MESH:D009536
Indole	Chemical	MESH:C030374
3-ethanol	Chemical	MESH:D000431
dioxyindole	Chemical	NA
2-Oxondol	Chemical	MESH:C021591
