word	mesh	match	name	doid
papillomavirus	mesh:D030361	NA	NA	NA
Breast cancer	mesh:D001943	NA	NA	NA
cancer	mesh:D009369	NA	NA	NA
carcinoma	mesh:D002277	Carcinoma	spindle cell carcinoma	doid:4015
Hepatitis B	mesh:D006509	NA	NA	NA
Alzheimers	mesh:D000544	NA	NA	NA
sarcoma	mesh:D012509	Sarcoma	sarcoma	doid:1115
Parkinsons	mesh:D010300	NA	NA	NA
atherosclerosis	mesh:D050197	NA	NA	NA
Hepatitis C	mesh:D006526	NA	NA	NA
Huntingtons	mesh:D006816	NA	NA	NA
carcinogenesis	mesh:D063646	NA	NA	NA
trypanosomiasis	mesh:D014352	NA	NA	NA
