word	mesh	match	name	doid
Disease	NA	disease	disease	DOID:4
disease	NA	disease	disease	DOID:4
disease	NA	disease	disease	DOID:4
Arthritis	NA	arthritis	arthritis	DOID:848
Kidney Disease	NA	kidney disease	kidney disease	DOID:557
Lateral Sclerosis	NA	lateral sclerosis	lateral sclerosis	DOID:230
Multiple Sclerosis	NA	multiple sclerosis	multiple sclerosis	DOID:2377
Lupus erythematosus	NA	lupus erythematosus	lupus erythematosus	DOID:8857
Rheumatoid Arthritis	NA	rheumatoid arthritis	rheumatoid arthritis	DOID:7148
Lateral Sclerosis	NA	lateral sclerosis	lateral sclerosis	DOID:230
Systemic Lupus erythematosus	NA	systemic lupus erythematosus	systemic lupus erythematosus	DOID:9074
