word	mesh	match	name	doid
infection	mesh:D007239	NA	NA	NA
obese	mesh:D009765	NA	NA	NA
SARS-CoV-infected	mesh:C000657245	NA	NA	NA
viral infection	mesh:D001102	NA	NA	NA
SARS-CoV	mesh:C000657245	NA	NA	NA
obesidiabetic	NA	NA	NA	NA
Fibrosis	mesh:D005355	NA	NA	NA
SARS-CoV-2	mesh:C000657245	NA	NA	NA
COVID-19	mesh:C000657245	NA	NA	NA
COVID-19	mesh:C000657245	NA	NA	NA
Lymphopenia	mesh:D008231	NA	NA	NA
SARS-CoV-2	mesh:C000657245	NA	NA	NA
SARS-CoV	mesh:C000657245	NA	NA	NA
cytotoxicity	mesh:D064420	NA	NA	NA
