word	type	identifier
Phenylalanine	Chemical	MESH:C119108
Cinnamic acid	Chemical	MESH:C029010
p-Coumaric acid	Chemical	MESH:C032171
Coumaroyl-CoA	Chemical	MESH:C058644
Coumaraldehyde	Chemical	MESH:C117045
Coumaroyl	Chemical	MESH:C058644
Hydroxyphenyl lignin	Chemical	MESH:D008031
Caffeic acid	Chemical	MESH:D002109
Caffeoyl	Chemical	MESH:C058645
Caffeyl aldehyde	Chemical	MESH:D000447
Caffeyl alcohol	Chemical	MESH:D000431
Ferulic acid	Chemical	MESH:C004999
Feraloyl CoA	Chemical	MESH:C065987
Coniferaldehyde	Chemical	MESH:C075384
Coniferyl alcohol	Chemical	MESH:C010559
Guaiacyl	Chemical	MESH:C434470
5-Hydroxyferulic acid	Chemical	MESH:C071744
5-Hydroxyferaloyl CoA	Chemical	MESH:C065987
5-Hydroxyconiferalde	Chemical	MESH:C068492
5-Hydroxyconiferyl alcohol	Chemical	MESH:C405696
Sinapic acid	Chemical	MESH:C073734
Sinapaldehyde	Chemical	MESH:C075386
Sinapyl alcohol	Chemical	MESH:C496130
Syringyl	Chemical	MESH:C434469
