word	mesh	match	name	chebi
Ala	mesh:C026593	NA	NA	NA
Gly	mesh:C070361	NA	NA	NA
Pyruvate	mesh:D011773	NA	NA	NA
Triglycerides	mesh:D014280	Triglycerides	triglyceride	chebi:17855
Glycine	mesh:D005998	Glycine	glycine	chebi:15428
C Histidine Pyruvate Glucose Isoleucine Leucine	mesh:D010451	NA	NA	NA
C Phenylalanine Tyrosine Valine Triglycerides Fatty Acids	mesh:D014280	Triglycerides	triglyceride	chebi:17855
Fatty acids	mesh:D005227	Fatty Acids	fatty acid	chebi:35366
Propionyl-CoA	mesh:C009061	propionyl-CoA	propionyl-coenzyme A	chebi:15539
PCCB	NA	NA	NA	NA
Succinyl-CoA	mesh:C012046	NA	NA	NA
HMG-CoA	mesh:C008047	NA	NA	NA
Acetoacetyl-CoA	mesh:C010667	NA	NA	NA
Cholesterol	mesh:D002784	Cholesterol	cholesterol	chebi:16113
Glutamate	NA	NA	NA	NA
Acetyl-CoA	mesh:D000105	Acetyl Coenzyme A	acetyl-CoA	chebi:15351
Serine	mesh:C047902	NA	NA	NA
Alanine	mesh:D000409	Alanine	alanine	chebi:16449
ketoglutarate	mesh:C029743	NA	NA	NA
Isoleucine	mesh:C043801	NA	NA	NA
Leucine	mesh:C038361	NA	NA	NA
Fatty Acids	mesh:D005227	Fatty Acids	fatty acid	chebi:35366
3-hydroxy-3-methylglutaryl-CoA	mesh:C008047	NA	NA	NA
Valine	mesh:C521924	NA	NA	NA
