word	mesh	match	name	doid
Ataxia Telangiectasia	mesh:D001260	NA	NA	NA
AT	NA	NA	NA	NA
Fanconi Anaemia	mesh:D005199	NA	NA	NA
Neurodegeneration	mesh:D019636	NA	NA	NA
Microcephaly	mesh:D008831	NA	NA	NA
endocrine dysfunction	mesh:D004700	NA	NA	NA
immunodeficiency	mesh:D007153	NA	NA	NA
dysplasia	mesh:D004476	NA	NA	NA
Anaemia	mesh:D000740	NA	NA	NA
Ataxia-oculomotor apraxia	mesh:C537308	NA	NA	NA
Xeroderma Pigmentosum	mesh:D014983	NA	NA	NA
XPD	mesh:C562591	NA	NA	NA
Xeroderma Pigmentosum	mesh:D014983	NA	NA	NA
Xeroderma Pigmentosum	mesh:D014983	NA	NA	NA
XPD	mesh:C562591	NA	NA	NA
Nephropathy	mesh:D007674	NA	NA	NA
