organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
9606	Homo sapiens	Primates	NLRP3	NLRP3	NLRP3	114548	ncbigene_symbol	7	14	16
9606	Homo sapiens	Primates	LPS	LPS	IRF6	3664	ncbigene_synonym	7	14	16
9606	Homo sapiens	Primates	GSDMD	GSDMD	GSDMD	79792	ncbigene_symbol	7	14	16
9606	Homo sapiens	Primates	GSDME	GSDME	GSDME	1687	ncbigene_symbol	7	14	16
9606	Homo sapiens	Primates	IL-18	IL-18	IL18	3606	ncbigene_synonym	7	14	16
9606	Homo sapiens	Primates	IL-1B	IL1B	IL1B	3553	ncbigene_symbol	7	14	16
9606	Homo sapiens	Primates	S100	S100	S100A1	6271	ncbigene_synonym	7	14	16
9606	Homo sapiens	Primates	S100	S100	S100B	6285	ncbigene_synonym	7	14	16
9606	Homo sapiens	Primates	S100	S100	S100G	795	famplex_relations	7	14	16
9606	Homo sapiens	Primates	S100	S100	S100P	6286	famplex_relations	7	14	16
9606	Homo sapiens	Primates	S100	S100	S100Z	170591	famplex_relations	7	14	16
9606	Homo sapiens	Primates	S100	S100	HRNR	388697	famplex_relations	7	14	16
9606	Homo sapiens	Primates	S100	S100	S100A10	6281	famplex_relations	7	14	16
9606	Homo sapiens	Primates	S100	S100	S100A11	6282	famplex_relations	7	14	16
9606	Homo sapiens	Primates	S100	S100	S100A12	6283	famplex_relations	7	14	16
9606	Homo sapiens	Primates	S100	S100	S100A13	6284	famplex_relations	7	14	16
9606	Homo sapiens	Primates	S100	S100	S100A14	57402	famplex_relations	7	14	16
9606	Homo sapiens	Primates	S100	S100	S100A16	140576	famplex_relations	7	14	16
9606	Homo sapiens	Primates	S100	S100	S100A2	6273	famplex_relations	7	14	16
9606	Homo sapiens	Primates	S100	S100	S100A3	6274	famplex_relations	7	14	16
9606	Homo sapiens	Primates	S100	S100	S100A4	6275	famplex_relations	7	14	16
9606	Homo sapiens	Primates	S100	S100	S100A5	6276	famplex_relations	7	14	16
9606	Homo sapiens	Primates	S100	S100	S100A6	6277	famplex_relations	7	14	16
9606	Homo sapiens	Primates	S100	S100	S100A7	6278	famplex_relations	7	14	16
9606	Homo sapiens	Primates	S100	S100	S100A7A	338324	famplex_relations	7	14	16
9606	Homo sapiens	Primates	S100	S100	S100A8	6279	famplex_relations	7	14	16
9606	Homo sapiens	Primates	S100	S100	S100A9	6280	famplex_relations	7	14	16
9606	Homo sapiens	Primates	S100	S100	TCHHL1	126637	famplex_relations	7	14	16
9606	Homo sapiens	Primates	TIM4	TIM4	TIMD4	91937	ncbigene_synonym	7	14	16
9606	Homo sapiens	Primates	TAM	TAM	TAM	8205	ncbigene_symbol	7	14	16
9606	Homo sapiens	Primates	TAM	TAM	STIM1	6786	ncbigene_synonym	7	14	16
9606	Homo sapiens	Primates	BAI1	BAI1	ADGRB1	575	ncbigene_synonym	7	14	16
9606	Homo sapiens	Primates	Rac1	RAC1	RAC1	5879	ncbigene_symbol	7	14	16
9606	Homo sapiens	Primates	Rac1	RAC1	RNASE1	6035	ncbigene_synonym	7	14	16
9606	Homo sapiens	Primates	→L-12	L12	RPL12	6136	ncbigene_synonym	7	14	16
9606	Homo sapiens	Primates	→L-12	L12	RSL1D1	26156	ncbigene_synonym	7	14	16
9606	Homo sapiens	Primates	→L-12	L12	IGKV1-5	28299	ncbigene_synonym	7	14	16
9606	Homo sapiens	Primates	IL-6	IL-6	IL6	3569	ncbigene_synonym	7	14	16
9606	Homo sapiens	Primates	IL-10	IL-10	IL10	3586	ncbigene_synonym	7	14	16
9606	Homo sapiens	Primates	HMGB1	HMGB1	HMGB1	3146	ncbigene_symbol	7	14	16
9606	Homo sapiens	Primates	DED	DED	AATF	26574	ncbigene_synonym	7	14	16
10090	Mus musculus	Rodents	NLRP3	NLRP3	Nlrp3	216799	ncbigene_symbol	5	11	16
10090	Mus musculus	Rodents	LPS	LPS	Tlr4	21898	ncbigene_synonym	5	11	16
10090	Mus musculus	Rodents	caspase-9	CASPASE-9	Casp9	12371	ncbigene_synonym	5	11	16
10090	Mus musculus	Rodents	caspase-3	CASPASE-3	Casp3	12367	ncbigene_synonym	5	11	16
10090	Mus musculus	Rodents	GSDMD	GSDMD	Gsdmd	69146	ncbigene_symbol	5	11	16
10090	Mus musculus	Rodents	GSDME	GSDME	Gsdme	54722	ncbigene_symbol	5	11	16
10090	Mus musculus	Rodents	IL-18	IL-18	Il18	16173	ncbigene_synonym	5	11	16
10090	Mus musculus	Rodents	IL-1B	IL-1B	Il1b	16176	ncbigene_synonym	5	11	16
10090	Mus musculus	Rodents	IL-1	IL-1	Il1	111343	ncbigene_synonym	5	11	16
10090	Mus musculus	Rodents	S100	S100	S100a1	20193	ncbigene_synonym	5	11	16
10090	Mus musculus	Rodents	TIM4	TIM4	Timd4	276891	ncbigene_synonym	5	11	16
10090	Mus musculus	Rodents	BAI1	BAI1	Adgrb1	107831	ncbigene_synonym	5	11	16
10090	Mus musculus	Rodents	Rac1	RAC1	Rac1	19353	ncbigene_symbol	5	11	16
10090	Mus musculus	Rodents	IL-6	IL-6	Il6	16193	ncbigene_synonym	5	11	16
10090	Mus musculus	Rodents	IL-10	IL-10	Il10	16153	ncbigene_synonym	5	11	16
10090	Mus musculus	Rodents	HMGB1	HMGB1	Hmgb1	15289	ncbigene_symbol	5	11	16
7227	Drosophila melanogaster	Invertebrates	DD	DD	Dd	33107	ncbigene_symbol	4	15	11
7227	Drosophila melanogaster	Invertebrates	and	AND	CkIIbeta	32132	ncbigene_synonym	4	15	11
7227	Drosophila melanogaster	Invertebrates	and	AND	Andorra	32798	ncbigene_synonym	4	15	11
7227	Drosophila melanogaster	Invertebrates	and	AND	Anp	43595	ncbigene_synonym	4	15	11
7227	Drosophila melanogaster	Invertebrates	and	AND	Acam	44913	ncbigene_synonym	4	15	11
7227	Drosophila melanogaster	Invertebrates	caspase-9	CASPASE-9	Dronc	39173	ncbigene_synonym	4	15	11
7227	Drosophila melanogaster	Invertebrates	caspase-3	CASPASE-3	Decay	42008	ncbigene_synonym	4	15	11
7227	Drosophila melanogaster	Invertebrates	early	EARLY	lds	45894	ncbigene_synonym	4	15	11
7227	Drosophila melanogaster	Invertebrates	IL-1	IL-1	JIL-1	39241	ncbigene_synonym	4	15	11
7227	Drosophila melanogaster	Invertebrates	TAM	TAM	PolG1	34792	ncbigene_synonym	4	15	11
7227	Drosophila melanogaster	Invertebrates	TAM	TAM	pyd	41062	ncbigene_synonym	4	15	11
7227	Drosophila melanogaster	Invertebrates	Rac1	RAC1	Rac1	38146	ncbigene_symbol	4	15	11
7227	Drosophila melanogaster	Invertebrates	Rac1	RAC1	Rac2	38831	ncbigene_synonym	4	15	11
7227	Drosophila melanogaster	Invertebrates	→L-12	L12	L12	46003	ncbigene_symbol	4	15	11
7227	Drosophila melanogaster	Invertebrates	→L-12	L12	Cpr11A	32198	ncbigene_synonym	4	15	11
7227	Drosophila melanogaster	Invertebrates	→L-12	L12	RpL12	45329	ncbigene_synonym	4	15	11
7227	Drosophila melanogaster	Invertebrates	→L-12	L12	l(1)L12	249393	ncbigene_synonym	4	15	11
7227	Drosophila melanogaster	Invertebrates	HMGB1	HMGB1	Dsp1	117294	ncbigene_synonym	4	15	11
7227	Drosophila melanogaster	Invertebrates	DED	DED	ded	47284	ncbigene_symbol	4	15	11
7955	Danio rerio	Vertebrates	receptor	RECEPTOR	kita	30256	ncbigene_synonym	4	6	9
7955	Danio rerio	Vertebrates	receptor	RECEPTOR	ngfra	100535003	ncbigene_synonym	4	6	9
7955	Danio rerio	Vertebrates	NLRP3	NLRP3	nlrp3	567964	ncbigene_symbol	4	6	9
7955	Danio rerio	Vertebrates	caspase-8	CASPASE-8	casp8	58022	ncbigene_synonym	4	6	9
7955	Danio rerio	Vertebrates	IL-1B	IL1B	il1b	405770	ncbigene_symbol	4	6	9
7955	Danio rerio	Vertebrates	TIM4	TIM4	havcr1	436707	ncbigene_synonym	4	6	9
7955	Danio rerio	Vertebrates	Rac1	RAC1	rac1a	327204	ncbigene_synonym	4	6	9
7955	Danio rerio	Vertebrates	IL-6	IL6	il6	100885851	ncbigene_symbol	4	6	9
7955	Danio rerio	Vertebrates	IL-10	IL10	il10	553957	ncbigene_symbol	4	6	9
7955	Danio rerio	Vertebrates	HMGB1	HMGB1	hmgb1a	321622	ncbigene_synonym	4	6	9
