word	type	identifier
fatty acid	Chemical	MESH:D005227
fatty acid	Chemical	MESH:D005227
Eicosenoid	Chemical	NA
9-cis-Retinoic acid	Chemical	MESH:C103303
fatty acid	Chemical	MESH:D005227
O	Chemical	MESH:D013481
Retinoic acid O	Chemical	MESH:D014212
fatty acid	Chemical	MESH:D005227
Thiazolidine	Chemical	MESH:D053778
O	Chemical	MESH:D013481
9-cis-Retinoic acid O	Chemical	MESH:C103303
fatty acid	Chemical	MESH:D005227
fatty acid	Chemical	MESH:D005227
9-cis-Retinoic acid	Chemical	MESH:C103303
fatty acid	Chemical	MESH:D005227
O	Chemical	MESH:D013481
9-cis-Retinoic acid O	Chemical	MESH:C103303
fatty acid	Chemical	MESH:D005227
O	Chemical	MESH:D013481
Thiazolidine	Chemical	MESH:D053778
O	Chemical	MESH:D013481
9-cis-Retinoic acid O	Chemical	MESH:C103303
Al	Chemical	MESH:D000535
Cholesterol	Chemical	MESH:D002784
Fatty acid	Chemical	MESH:D005227
Fatty acid	Chemical	MESH:D005227
Al	Chemical	MESH:D000535
Cholesterol	Chemical	MESH:D002784
Fatty acid	Chemical	MESH:D005227
Fatty acid	Chemical	MESH:D005227
Fatty acid	Chemical	MESH:D005227
Bile acid	Chemical	MESH:D001647
ketone	Chemical	MESH:D007659
Fatty acid	Chemical	MESH:D005227
Bile acid	Chemical	MESH:D001647
ketone	Chemical	MESH:D007659
