word	mesh	match	name	doid
Cardiac failure	mesh:D006333	Heart Failure	congestive heart failure	doid:6000
tumors	mesh:D009369	NA	NA	NA
tuberculosis	mesh:D014376	NA	NA	NA
Parkinsons disease	mesh:D010300	NA	NA	NA
carcinoma	mesh:D002277	Carcinoma	spindle cell carcinoma	doid:4015
FMF	mesh:D010505	NA	NA	NA
Atherosclerosis  Lung injury	mesh:D050197	NA	NA	NA
MID	NA	NA	NA	NA
obesity	mesh:D009765	NA	NA	NA
gouty arthritis	mesh:D006073	NA	NA	NA
Cerebral ischemia	mesh:D002545	NA	NA	NA
PD	mesh:D010300	NA	NA	NA
DSS-colitis	mesh:D015417	NA	NA	NA
Cardiopathy	mesh:C536187	NA	NA	NA
Neuropathy	mesh:D009422	NA	NA	NA
