word	source	identifier
Glucose	MESH	D005947
Choline	MESH	D002794
Ethanolamine	MESH	D004983
Theronine		
Triglyceride	MESH	D014280
Taurine	MESH	D013654
Cysteine	MESH	D003545
Serine	MESH	C047902
Glycine	MESH	D005998
Sarcosine	MESH	D012521
Creatine	MESH	D003401
Fatty acid	MESH	D005227
Pyruvate	MESH	D011773
Alanine	MESH	D000409
Acetate	MESH	D000085
Acetyl-CoA	MESH	D000105
Acetoacetate	MESH	D000090
Creatinine	MESH	D003404
Citrate	MESH	C102006
Oxaloacetate	MESH	D010071
Glutamine	MESH	C578860
TCA	MESH	C000589078
Cis-aconitate	MESH	C043607
Glutamate		
Leucine	MESH	C038361
Valine	MESH	C521924
Succinate	MESH	D013386
