word	mesh	match	name	doid
asthma	mesh:D001249	NA	NA	NA
inflammation	mesh:D007249	NA	NA	NA
fibrosis	mesh:D005355	NA	NA	NA
diabetic retinopathy	mesh:D003920	NA	NA	NA
vitreoretinopathy	mesh:D018630	NA	NA	NA
macular degeneration	mesh:D008268	Macular Degeneration	macular degeneration	doid:4448
Corneal dystrophy	mesh:D003317	NA	NA	NA
myocardial infarction	mesh:D009203	NA	NA	NA
Sclerosing Sialadenitis	mesh:D012793	NA	NA	NA
Fibrosis	mesh:D005355	NA	NA	NA
lymphoblastic leukemia	mesh:D054198	NA	NA	NA
Cholangiocarcinoma	mesh:D018281	NA	NA	NA
Pancreatic cancer	mesh:D010190	NA	NA	NA
Breast cancer	mesh:D001943	NA	NA	NA
Prostate cancer	mesh:D011471	NA	NA	NA
Malignant melanoma	mesh:D008545	NA	NA	NA
Atopic dermatitis	mesh:D003876	NA	NA	NA
Eosinophilic otitis	mesh:D004802	NA	NA	NA
Allergic rhinitis	mesh:D065631	Rhinitis, Allergic	allergic rhinitis	doid:4481
Chronic rhinosinusitis	mesh:D006505	NA	NA	NA
