word	type	identifier
ADP	Chemical	MESH:D000244
ATP	Chemical	MESH:D000255
Fatty acid	Chemical	MESH:D005227
Acyl	Chemical	MESH:D000214
Pyruvate Acetyl	Chemical	MESH:D011773
Acetyl-CoA	Chemical	MESH:D000105
Malonyl	Chemical	MESH:D008316
Glucose	Chemical	MESH:D005947
Acetic acid	Chemical	MESH:D019342
PHA	Chemical	MESH:C568742
Pyruvate	Chemical	MESH:D011773
Acetyl	Chemical	MESH:C011632
enoyl-CoA	Chemical	MESH:C530366
3-keto	Chemical	MESH:D007651
acyl-CoA	Chemical	MESH:D000214
Acyl-CoA	Chemical	MESH:D000214
