word	type	identifier
Pentose phosphate	Chemical	MESH:D010429
6-phosphoglucose	Chemical	MESH:C028071
Ribulose 5-phosphate	Chemical	MESH:C031524
Xyluose-5-phosphate	Chemical	MESH:D010710
Ribose-5-phosphate	Chemical	MESH:C031626
Glycerol	Chemical	MESH:D005990
Glucose-6-phosphate	Chemical	MESH:D019298
Glucose	Chemical	MESH:D005947
Frucose-6-phosphate	Chemical	MESH:D010710
Dihydroxyacetone phosphate	Chemical	MESH:D004099
Glycerol-3-phosphate	Chemical	MESH:C029620
Oleic Acid	Chemical	MESH:D009829
Frucose-1,6-phosphate	Chemical	MESH:D010710
Triacylglycerol	Chemical	MESH:D014280
Glycerol	Chemical	MESH:D005990
Pyruvate	Chemical	MESH:D011773
Glyceraldehyde-3-phosphate	Chemical	MESH:D005986
2-Phosphoglyceric acid	Chemical	MESH:C021591
Phosphoenolpyruvate	Chemical	MESH:D010728
pyruvate	Chemical	MESH:D011773
Hexamine	Chemical	MESH:D008709
Glucose-1-p UDP	Chemical	MESH:D014532
Glucose	Chemical	MESH:D005947
Acetyl-CoA	Chemical	MESH:D000105
Oxaloacetate	Chemical	MESH:D010071
Fumarate	Chemical	MESH:D005650
Glucosamine-6-phosphate	Chemical	MESH:C001293
GlcNAc	Chemical	MESH:C097320
GlcNAc	Chemical	MESH:C097320
UDP	Chemical	MESH:D014530
Citrate	Chemical	MESH:C102006
Succinate	Chemical	MESH:D013386
GlcNAc	Chemical	MESH:C097320
TCA	Chemical	MESH:C000589078
Isocitrate	Chemical	MESH:D007523
ketoglutarate	Chemical	MESH:C029743
O-GlcNAC	Chemical	MESH:C086501
Amino Acid	Chemical	MESH:D000596
Glutamine	Chemical	MESH:C578860
Glutamate	Chemical	NA
Histidine	Chemical	MESH:C115717
