word	type	identifier
Nucleotides	Chemical	MESH:D009711
Hexosamine	Chemical	MESH:D006595
Glu	Chemical	MESH:C094686
Glu	Chemical	MESH:C094686
Glutamine	Chemical	MESH:C578860
Glu	Chemical	MESH:C094686
Glutathione	Chemical	MESH:D005978
Proline	Chemical	MESH:C489032
Ornithine	Chemical	MESH:C008973
Ser	Chemical	MESH:C530429
Trp	Chemical	MESH:C509690
Ala	Chemical	MESH:C026593
Val	Chemical	MESH:C081489
Asp	Chemical	MESH:C108952
Lys	Chemical	MESH:C026591
Thr	Chemical	MESH:C055175
Leu	Chemical	MESH:C038361
Glu	Chemical	MESH:C094686
glucose	Chemical	MESH:D005947
NAD	Chemical	MESH:D009243
NADH	Chemical	MESH:D009243
Pyruvate	Chemical	MESH:D011773
Lactic acid	Chemical	MESH:D019344
Lactate	Chemical	MESH:D019344
