word	type	identifier
pyruvate	Chemical	MESH:D011773
lactate	Chemical	MESH:D019344
glucose	Chemical	MESH:D005947
glucose-6-P	Chemical	MESH:D005947
glucose	Chemical	MESH:D005947
6-phosphate	Chemical	MESH:D010710
frutose-6-P	Chemical	MESH:D010695
pyruvate	Chemical	MESH:D011773
pyruvate	Chemical	MESH:D011773
2-P-glycerate 3-P-glycerate 1,3-dip-glycerate	Chemical	MESH:C490048
pyruvate	Chemical	MESH:D011773
glyceraldehyde 3-P DHAP	Chemical	MESH:D005985
TCA	Chemical	MESH:C000589078
Pantothenoylcysteine	Chemical	NA
4-Phosphopantetheine	Chemical	MESH:C003129
