word	mesh	match	name	doid
Osteosarcoma	mesh:D012516	Osteosarcoma	bone sarcoma	doid:0080639
gastric carcinoma	mesh:D013274	NA	NA	NA
Atherosclerotic lesions	mesh:D050197	NA	NA	NA
Osteosarcomas	mesh:D012516	Osteosarcoma	bone sarcoma	doid:0080639
carcinomas	mesh:D002277	Carcinoma	spindle cell carcinoma	doid:4015
cancers	mesh:D009369	NA	NA	NA
Alzheimers disease	mesh:D000544	NA	NA	NA
Schizophrenia	mesh:D012559	NA	NA	NA
Rheumatoid arthritis	mesh:D001172	NA	NA	NA
coronary disease	mesh:D003324	NA	NA	NA
Psoriasis	mesh:D011565	NA	NA	NA
Osteoporosis	mesh:D010024	NA	NA	NA
Myocardial infarction	mesh:D009203	NA	NA	NA
SAHF	NA	NA	NA	NA
Diabetic neuropathy	mesh:D003929	NA	NA	NA
fibrosis	mesh:D005355	NA	NA	NA
Hepatitis C	mesh:D006526	NA	NA	NA
Adrenocortical adenomas	mesh:D018246	NA	NA	NA
carcinomas, breast  cancers	mesh:D001943	NA	NA	NA
Cancers	mesh:D009369	NA	NA	NA
Hepatocellular carcinomas	mesh:D006528	NA	NA	NA
Colorectal cancers	mesh:D015179	NA	NA	NA
colorectal cancers	mesh:D015179	NA	NA	NA
Gardner syndrome	mesh:D005736	NA	NA	NA
Type II Diabetes	mesh:D003924	NA	NA	NA
