word	mesh	match	name	doid
Hypoxia	mesh:D000860	NA	NA	NA
P HIF-la	mesh:D049310	NA	NA	NA
HIF-la HIF-18	mesh:D049310	NA	NA	NA
myocardial ischemia	mesh:D003324	NA	NA	NA
cancer	mesh:D009369	NA	NA	NA
anemia	mesh:D000740	NA	NA	NA
chronic kidney disease	mesh:D051436	NA	NA	NA
diabetes	mesh:D003920	NA	NA	NA
nervous system diseases	mesh:D009422	NA	NA	NA
septic myocarditis	mesh:D009205	NA	NA	NA
ischemia	mesh:D007511	NA	NA	NA
INOS pulmonary fibrosis	mesh:D011658	NA	NA	NA
osteoarthritis	mesh:D010003	osteoarthritis	Osteoarthritis	doid:8398
osteoarthritis	mesh:D010003	osteoarthritis	Osteoarthritis	doid:8398
rheumatoid arthritis	mesh:D001172	NA	NA	NA
osteoarthritis	mesh:D010003	osteoarthritis	Osteoarthritis	doid:8398
cancer	mesh:D009369	NA	NA	NA
myocardial ischemia	mesh:D003324	NA	NA	NA
retinopathy	mesh:D012164	NA	NA	NA
osteoarthritis	mesh:D010003	osteoarthritis	Osteoarthritis	doid:8398
