word	mesh	match	name	doid
fatty liver disease	mesh:D005234	NA	NA	NA
steatohepatitis	mesh:D005234	NA	NA	NA
fatty liver disease	mesh:D005234	NA	NA	NA
liver disease	mesh:D008107	NA	NA	NA
statohepatitis	NA	NA	NA	NA
steatohepatitis	mesh:D005234	NA	NA	NA
SERPINF1-Typell Diabetes Mellitus Signaling	mesh:D003920	NA	NA	NA
SERPINF1-Hepatic Fibrosis	mesh:D008103	NA	NA	NA
SHBG-Type II Diabetes Mellitus	mesh:D003924	NA	NA	NA
SHBG-Hepatic Fibrosis	mesh:D008103	NA	NA	NA
Fibrosis	mesh:D005355	NA	NA	NA
Type II Diabetes Mellitus	mesh:D003924	NA	NA	NA
