word	type	identifier
Basal cell carcinoma	Disease	MESH:D002280
Medulloblastoma  Meningiomas  Medulloblastoma	Disease	MESH:D008527
Medulloblastoma	Disease	MESH:D008527
Glioma	Disease	MESH:D005910
Basal cell carcinoma  Medulloblastoma  Rhabdomyosarcoma  Esophageal squamous  cell carcinoma  Basal cell carcinoma  Medulloblastoma  Rhabdomyosarcoma	Disease	MESH:D002280
Lymphomas  Multiple myelomas  Prostate cancer	Disease	MESH:D011471
Colon cancer	Disease	MESH:D015179
Bladder cancer	Disease	MESH:D001749
Pancreatic cancer	Disease	MESH:D010190
cancer	Disease	MESH:D009369
Prostate cancer	Disease	MESH:D011471
Melanoma	Disease	MESH:D008545
Glioma	Disease	MESH:D005910
