word	mesh	match	name	doid
cardiomyopathy	mesh:D009202	NA	NA	NA
Painful diabetic neuropathy	mesh:D003929	NA	NA	NA
arrhythmia  Hypofrontality	mesh:D001145	NA	NA	NA
depression	mesh:D000275	Adjustment Disorders	adjustment disorder	doid:507
Hyperprolactinemia	mesh:D002640	NA	NA	NA
Pain	mesh:D010146	NA	NA	NA
Hypercortisolemia  Hyperglycemia  Diabetes  Dysautonomia  syndrome	mesh:D006943	NA	NA	NA
Diabetic autonomic	mesh:D003929	NA	NA	NA
neuropathy	mesh:D009422	NA	NA	NA
Diabetic brain	mesh:D003920	NA	NA	NA
ischemia	mesh:D007511	NA	NA	NA
SVD	mesh:C536677	NA	NA	NA
