word	type	identifier
GSH	Chemical	MESH:D005978
Cystine	Chemical	MESH:D003553
GSH	Chemical	MESH:D005978
Glycine	Chemical	MESH:D005998
NADPH	Chemical	MESH:D009249
Cystine	Chemical	MESH:D003553
NADP	Chemical	MESH:D009249
Glutamate	Chemical	NA
GSH	Chemical	MESH:D005978
GSSG	Chemical	MESH:D019803
Glutamate	Chemical	NA
APR	Chemical	MESH:C439689
Iron	Chemical	MESH:D007501
Fe	Chemical	MESH:D007501
iron	Chemical	MESH:D007501
Fe	Chemical	MESH:D007501
Fe	Chemical	MESH:D007501
iron	Chemical	MESH:D007501
iron	Chemical	MESH:D007501
PUFA	Chemical	MESH:D015525
PUFA	Chemical	MESH:D015525
PUFA	Chemical	MESH:D015525
PUFA	Chemical	MESH:D015525
OOH	Chemical	MESH:C069471
CoQ	Chemical	MESH:C028325
NADPH	Chemical	MESH:D009249
MUFA-COA	Chemical	MESH:C479798
Cisplatin	Chemical	MESH:D002945
PUFA	Chemical	MESH:D015525
OH	Chemical	MESH:C031356
NADP	Chemical	MESH:D009249
CoQ	Chemical	MESH:C028325
