word	type	identifier
Methanol	Chemical	MESH:D000432
NADH	Chemical	MESH:D009243
ATP	Chemical	MESH:D000255
NADH	Chemical	MESH:D009243
Ru5P	Chemical	MESH:D012428
DHAP	Chemical	MESH:C017202
ATP	Chemical	MESH:D000255
NADH	Chemical	MESH:D009243
AcCoA	Chemical	MESH:C059703
AaCoA	Chemical	MESH:C065634
NADPH	Chemical	MESH:D009249
PHB	Chemical	MESH:C514366
PHB	Chemical	MESH:C514366
Methanol	Chemical	MESH:D000432
NADH	Chemical	MESH:D009243
AcP	Chemical	MESH:D000186
Ru5P	Chemical	MESH:D012428
AcCoA	Chemical	MESH:C059703
AaCoA	Chemical	MESH:C065634
NADPH	Chemical	MESH:D009249
PHB	Chemical	MESH:C514366
PHB	Chemical	MESH:C514366
