word	source	identifier
Lactate	MESH	D019344
Glucose	MESH	D005947
Fructose	MESH	D005632
Pyruvate	MESH	D011773
Glutamate		
Glutamine	MESH	C578860
Threonine	MESH	C061951
GDP GTP	MESH	D006153
Succinate	MESH	D013386
FAD	MESH	D005182
Glucosamine-6-P	MESH	D005944
Acetyl-CoA	MESH	D000105
Serine	MESH	C047902
NADH	MESH	D009243
H	MESH	D006859
Succinyl	MESH	C035687
Fumarate	MESH	D005650
2-Amino-3	MESH	D000596
NAD	MESH	D009243
ketobutyrate	MESH	C005087
GicNAc-6-PO	MESH	C093415
TCA	MESH	C000589078
Glycine	MESH	D005998
Isocitrate	MESH	D007523
Oxaloacetate	MESH	D010071
GlcNAC	MESH	C086501
Tetrahydrofolate	MESH	D013763
Citrate	MESH	C102006
UTP	MESH	D014544
HCY	MESH	C051818
Cysteine	MESH	D003545
Acetyl	MESH	C011632
UDP	MESH	D014530
GSH	MESH	D005978
Fatty acids	MESH	D005227
Methionine	MESH	D008715
GlcNAc	MESH	C097320
O	MESH	D013481
ATP	MESH	D000255
ADP	MESH	D000244
2 NADH	MESH	D009243
Hexosamine	MESH	D006595
carbon	MESH	D002244
