word	type	identifier
Glucose	Chemical	MESH:D005947
NADPH	Chemical	MESH:D009249
Glyceraldehyde	Chemical	MESH:D005985
Pyruvate	Chemical	MESH:D011773
NADP	Chemical	MESH:D009249
TCA	Chemical	MESH:C000589078
bisphosphate glyceraldehyde	Chemical	MESH:D005985
Sorbitol	Chemical	MESH:D013012
Methyl glyoxal	Chemical	MESH:D006037
Dihydroxyacetone	Chemical	MESH:D004098
NAD	Chemical	MESH:D009243
NADH	Chemical	MESH:D009243
glycerol	Chemical	MESH:D005990
phosphoric acid Diacylglycerol	Chemical	MESH:D004075
Fructose	Chemical	MESH:D005632
