word	mesh	match	name	doid
HD LC ALF	mesh:D006816	NA	NA	NA
HD	mesh:D006816	NA	NA	NA
ALF	mesh:D017114	NA	NA	NA
HD	mesh:D006816	NA	NA	NA
ALF	mesh:D017114	NA	NA	NA
HD	mesh:D006816	NA	NA	NA
ALF	mesh:D017114	NA	NA	NA
HD LC ALF	mesh:D006816	NA	NA	NA
HD LC ALF	mesh:D006816	NA	NA	NA
HD	mesh:D006816	NA	NA	NA
ALF	mesh:D017114	NA	NA	NA
HD LC ALF	mesh:D006816	NA	NA	NA
HD LC ALF	mesh:D006816	NA	NA	NA
HD LC ALF	mesh:D006816	NA	NA	NA
HD LC ALF	mesh:D006816	NA	NA	NA
HD	mesh:D006816	NA	NA	NA
ALF	mesh:D017114	NA	NA	NA
HD LC ALF	mesh:D006816	NA	NA	NA
HD LC ALF	mesh:D006816	NA	NA	NA
HD	mesh:D006816	NA	NA	NA
ALF	mesh:D017114	NA	NA	NA
HD LC ALF	mesh:D006816	NA	NA	NA
HD LC ALF	mesh:D006816	NA	NA	NA
HD	mesh:D006816	NA	NA	NA
ALF	mesh:D017114	NA	NA	NA
HD LC ALF	mesh:D006816	NA	NA	NA
HD LC ALF	mesh:D006816	NA	NA	NA
HD LC ALF	mesh:D006816	NA	NA	NA
HD LC ALF	mesh:D006816	NA	NA	NA
HD	mesh:D006816	NA	NA	NA
ALF	mesh:D017114	NA	NA	NA
HD	mesh:D006816	NA	NA	NA
ALF	mesh:D017114	NA	NA	NA
HD LC ALF	mesh:D006816	NA	NA	NA
HD LC ALF	mesh:D006816	NA	NA	NA
HD	mesh:D006816	NA	NA	NA
ALF	mesh:D017114	NA	NA	NA
HD LC ALF	mesh:D006816	NA	NA	NA
HD	mesh:D006816	NA	NA	NA
ALF	mesh:D017114	NA	NA	NA
HD	mesh:D006816	NA	NA	NA
ALF	mesh:D017114	NA	NA	NA
HD LC ALF	mesh:D006816	NA	NA	NA
HD	mesh:D006816	NA	NA	NA
ALF	mesh:D017114	NA	NA	NA
HD	mesh:D006816	NA	NA	NA
ALF	mesh:D017114	NA	NA	NA
HD	mesh:D006816	NA	NA	NA
ALF	mesh:D017114	NA	NA	NA
HD LC ALF	mesh:D006816	NA	NA	NA
HD	mesh:D006816	NA	NA	NA
ALF	mesh:D017114	NA	NA	NA
HD	mesh:D006816	NA	NA	NA
ALF	mesh:D017114	NA	NA	NA
HD LC ALF	mesh:D006816	NA	NA	NA
HD LC ALF	mesh:D006816	NA	NA	NA
HD LC ALF	mesh:D006816	NA	NA	NA
HD LC ALF	mesh:D006816	NA	NA	NA
SAH	mesh:D013345	NA	NA	NA
HD LC ALF	mesh:D006816	NA	NA	NA
HD LC ALF	mesh:D006816	NA	NA	NA
HD	mesh:D006816	NA	NA	NA
ALF	mesh:D017114	NA	NA	NA
HD LC ALF	mesh:D006816	NA	NA	NA
HD	mesh:D006816	NA	NA	NA
ALF	mesh:D017114	NA	NA	NA
HD	mesh:D006816	NA	NA	NA
ALF	mesh:D017114	NA	NA	NA
HD	mesh:D006816	NA	NA	NA
ALF	mesh:D017114	NA	NA	NA
SAH	mesh:D013345	NA	NA	NA
HD LC ALF	mesh:D006816	NA	NA	NA
HD LC ALF	mesh:D006816	NA	NA	NA
HD LC ALF	mesh:D006816	NA	NA	NA
HD	mesh:D006816	NA	NA	NA
ALF	mesh:D017114	NA	NA	NA
HD LC ALF	mesh:D006816	NA	NA	NA
HD	mesh:D006816	NA	NA	NA
ALF	mesh:D017114	NA	NA	NA
HD LC ALF	mesh:D006816	NA	NA	NA
HD LC ALF	mesh:D006816	NA	NA	NA
HD	mesh:D006816	NA	NA	NA
ALF	mesh:D017114	NA	NA	NA
HD	mesh:D006816	NA	NA	NA
ALF	mesh:D017114	NA	NA	NA
