word	mesh	match	name	chebi
CDP-ethanolamine	mesh:C006933	CDP-ethanolamine	CDP ethanolamine	chebi:16732
Lysophosphatidic acid	mesh:C032881	1-oleoyl-sn-glycerol 3-phosphate	lysophosphatidic acid	chebi:62837
Phosphatidylethanolamine	mesh:C483858	NA	NA	NA
Acyl-CoA	mesh:D000214	NA	NA	NA
Fatty Acyl-CoA	mesh:D000214	NA	NA	NA
Choline	mesh:D002794	Choline	choline	chebi:15354
CDP-choline	mesh:D003566	Cytidine Diphosphate Choline	CDP-choline	chebi:16436
Diacylglycerol	mesh:D004075	Diglycerides	diglyceride	chebi:18035
Fatty Acids	mesh:D005227	Fatty Acids	fatty acid	chebi:35366
Phosphatidylcholine	mesh:D010713	Phosphatidylcholines	phosphatidylcholine(1+)	chebi:49183
Phosphatidylserine	mesh:D010718	Phosphatidylserines	phosphatidyl-L-serine	chebi:18303
Choline-phosphate	mesh:D010767	Phosphorylcholine	phosphocholine	chebi:18132
Triacylglycerol	mesh:D014280	Triglycerides	triglyceride	chebi:17855
