word	mesh	match	name	chebi
D-mannose	mesh:D008358	Mannose	D-mannopyranose	chebi:4208
L-galactose	mesh:D005690	Galactose	galactose	chebi:28260
D-Glucose-6-P	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
D-Fructose-6-P	mesh:D005632	Fructose	fructose	chebi:28757
D-Mannose-6-P	mesh:D008358	Mannose	D-mannopyranose	chebi:4208
D-Mannose-1-P	mesh:D008358	Mannose	D-mannopyranose	chebi:4208
GMP	mesh:C068152	NA	NA	NA
GDP-D-Mannose	mesh:D006155	Guanosine Diphosphate Mannose	GDP-alpha-D-mannose	chebi:15820
GDP-L-Galactose	mesh:D006153	Guanosine Diphosphate	GDP	chebi:17552
L-Galactose-1-P	mesh:D005690	Galactose	galactose	chebi:28260
Galactose	mesh:D005690	Galactose	galactose	chebi:28260
L-Galactono-1,4-lactone	mesh:C534014	NA	NA	NA
Ascorbate	mesh:D001205	NA	NA	NA
