word	source	identifier
Cinnamic acid	MESH	C029010
L-phenylalanine	MESH	C119108
p-coumaric	MESH	C032171
Chlorogenic acid	MESH	D002726
Neochlorogenic acid	MESH	D000596
P-coumaric	MESH	C032171
Caffeate	MESH	C042405
Chalcone	MESH	D047188
Flavanones	MESH	D044950
Dihydroflavanols	MESH	C547089
Dihydromyrecetin		
Dihydroquercetin	MESH	C003377
Dihydrokaempferol	MESH	C080220
Kaempferol	MESH	D044949
Quercetin	MESH	D011794
Leucocyanidin	MESH	C001532
Isoquercetin		
Rutin	MESH	D012431
Quercetin-3-glucuronide	MESH	C443401
