word	type	identifier
Palmitoleic	Chemical	MESH:C008757
Guaine D-Galactose	Chemical	MESH:D005690
Glucose	Chemical	MESH:D005947
Inositol	Chemical	MESH:D007294
Thine 6-phosphate 4-phosphate F	Chemical	MESH:D010710
Uracil Suctose	Chemical	MESH:D014498
Oleamide	Chemical	MESH:C029407
D-Glucose	Chemical	MESH:D005947
Oleic acid	Chemical	MESH:D009829
Fructose	Chemical	MESH:D005632
6-phosphate	Chemical	MESH:D010710
Squalene	Chemical	MESH:D013185
Glycerol	Chemical	MESH:D005990
D-Fructose Citri acid	Chemical	MESH:D005632
Propane-1,3-diol	Chemical	MESH:C046183
Ethanolamine	Chemical	MESH:D004983
3-Hydroxybutyric Oxalic acid	Chemical	MESH:D019815
Allothreonine	Chemical	MESH:C033059
5-Aminopentanoic  acid	Chemical	MESH:C449752
acid Gamma-Aminobutyric	Chemical	MESH:D005680
L-Tryptophan L-Methionine acid Citraconic	Chemical	NA
L-Lysine acid	Chemical	MESH:C114808
3-Hydroxybenzoic	Chemical	MESH:C032948
Pyruvic Aspartic acid	Chemical	MESH:D019289
Glycine L-Aspargine	Chemical	MESH:D005998
L-Valine Citrulline	Chemical	MESH:C456563
N-Acetylornithine	Chemical	MESH:D009584
N-Acetylputrescine	Chemical	MESH:C026212
Urea	Chemical	MESH:D014508
Glucose	Chemical	MESH:D005947
Adenine	Chemical	MESH:D000225
Thymine	Chemical	MESH:D013941
Uracil	Chemical	MESH:D014498
D-Galactose	Chemical	MESH:D005690
Glucose	Chemical	MESH:D005947
phosphate	Chemical	MESH:D010710
Guanosine	Chemical	MESH:D006151
Phthalic	Chemical	MESH:D010795
Pyruvic	Chemical	MESH:D019289
Fructose	Chemical	MESH:D005632
1-phosphate	Chemical	MESH:D010710
L-Valine	Chemical	MESH:C035810
D-Fructose	Chemical	MESH:D005632
Cholesterol	Chemical	MESH:D002784
1,3-diol	Chemical	MESH:C518382
Threonic Glutaric	Chemical	MESH:C011369
L-Asparagine	Chemical	MESH:C050801
5-Aminopentanoic Fumaric	Chemical	MESH:C449752
L-Aspartic acid	Chemical	MESH:C035650
L-Threonine	Chemical	MESH:C033059
L-Proline	Chemical	MESH:C489032
Allothreonine	Chemical	MESH:C033059
L-Tryptophan	Chemical	NA
Spermidine	Chemical	MESH:D013095
N-Acetylputrescine	Chemical	MESH:C026212
