word	mesh	match	name	doid
Adenoma	NA	adenoma	adenoma	DOID:657
adenoma	NA	adenoma	adenoma	DOID:657
carcinoma	NA	carcinoma	carcinoma	DOID:305
cancer	NA	cancer	cancer	DOID:162
Carcinoma	NA	carcinoma	carcinoma	DOID:305
Carcinoma	NA	carcinoma	carcinoma	DOID:305
CANCER	NA	cancer	cancer	DOID:162
CANCER	NA	cancer	cancer	DOID:162
Adenoma	NA	adenoma	adenoma	DOID:657
cancer	NA	cancer	cancer	DOID:162
cancer	NA	cancer	cancer	DOID:162
CANCER	NA	cancer	cancer	DOID:162
CANCER	NA	cancer	cancer	DOID:162
Colon carcinoma	NA	colon carcinoma	colon carcinoma	DOID:1520
colon cancer	NA	colon cancer	colon cancer	DOID:219
