word	type	identifier
5-methyl-THF	Chemical	MESH:C006461
L-homocysteine	Chemical	MESH:D006710
3-methyl-L-aspartate	Chemical	NA
Propane-1,2-diol	Chemical	MESH:C046183
Ribonucleoside	Chemical	MESH:D012263
Epoxyqueuosine	Chemical	MESH:C051634
Hg2+	Chemical	MESH:D008628
CH	Chemical	MESH:C103208
Methylmalonyl-CoA	Chemical	MESH:C015357
2-hydroxyisobutanoyl-CoA	Chemical	MESH:C065987
2-methyleneglutarate	Chemical	MESH:C002172
Ethanolamine	Chemical	MESH:D004983
Co(l)	Chemical	MESH:C578194
CH3-Hefolate	Chemical	MESH:C103208
Tetrachloroethene	Chemical	MESH:D013750
2,4-divinylprotochlorophyllide	Chemical	MESH:C020301
5-deoxyadenosine	Chemical	MESH:C033714
methionine	Chemical	MESH:D008715
RDP	Chemical	MESH:C092373
Glycyl	Chemical	MESH:C070361
FMNH	Chemical	MESH:C540087
S	Chemical	MESH:D013455
adenosyl-L-methionine	Chemical	MESH:C468227
5-methyltetrahydropteroyltri	Chemical	MESH:C068492
L-glutamate	Chemical	NA
homocysteine	Chemical	MESH:D006710
Epoxyqueosine	Chemical	NA
L-glutamate	Chemical	NA
Ethanolamine	Chemical	MESH:D004983
Mg-protoporphyrin	Chemical	MESH:C039629
13-monomethyl ester	Chemical	MESH:C027265
2-oxoglutarate	Chemical	MESH:C029743
L-aspartate	Chemical	NA
S	Chemical	MESH:D013455
AspC	Chemical	MESH:C108952
THF	Chemical	MESH:C006461
L-methionine	Chemical	MESH:D008715
L-glutamate	Chemical	NA
Deoxyribonucleoside	Chemical	MESH:D003853
Queuosine	Chemical	MESH:D009704
CH2Hg	Chemical	MESH:C020771
Succinyl-CoA	Chemical	MESH:C012046
3-hydroxybutanoyl-CoA	Chemical	MESH:C547039
2-methylene-3-methylsuccinate	Chemical	MESH:C041105
Acetaldehyde	Chemical	MESH:D000079
NH	Chemical	MESH:D000641
CH2	Chemical	MESH:C103208
Co(III)	Chemical	MESH:C040338
Hafolate	Chemical	NA
Trichloroethene	Chemical	MESH:D014241
Ch	Chemical	MESH:C405082
Magnesium protoporphyrin	Chemical	MESH:C039629
13-monomethyl ester	Chemical	MESH:C027265
S	Chemical	MESH:D013455
adenosyl-L-methionine	Chemical	MESH:C468227
dRDP	Chemical	MESH:C092373
disulfide	Chemical	MESH:D004220
5-deoxyadenosine	Chemical	MESH:C033714
Glycin	Chemical	MESH:C448461
yl-R+L-methionine	Chemical	MESH:D008715
FMNH2	Chemical	MESH:C540087
L-methionine	Chemical	MESH:D008715
Tetrahydropteroyltri-L-glutamate	Chemical	NA
Queosine	Chemical	NA
2-oxoglutarate	Chemical	MESH:C029743
NH2	Chemical	MESH:D000641
Glycine	Chemical	MESH:D005998
Aspartate	Chemical	NA
3,8-divinyl protochlorophyllide	Chemical	MESH:C020301
L-glutamate	Chemical	NA
Oxaloacetate	Chemical	MESH:D010071
Succinyl-CoA	Chemical	MESH:C012046
Glycine	Chemical	MESH:D005998
Glutamate	Chemical	NA
CysG	Chemical	MESH:C046557
Adenosylcobalamin	Chemical	MESH:C000913
CysG	Chemical	MESH:C046557
Cobamide	Chemical	MESH:D003038
