word	mesh	match	name	doid
Pa YLKa	mesh:D011471	NA	NA	NA
Leishmaniasis	mesh:D007896	NA	NA	NA
Rheumatoid arthritis	mesh:D001172	NA	NA	NA
Alzheimers disease	mesh:D000544	NA	NA	NA
Vibrio cholerae infection	mesh:D002771	NA	NA	NA
Tuberculosis	mesh:D014376	NA	NA	NA
Viral myocardits	mesh:D001102	NA	NA	NA
Huntingtons disease	mesh:D006816	NA	NA	NA
Epstein-Barr virus infection	mesh:D020031	NA	NA	NA
Malaria	mesh:D008288	NA	NA	NA
trypanosomiasis	mesh:D014352	NA	NA	NA
Parkinsons disease	mesh:D010300	NA	NA	NA
ooli infection	mesh:D007239	NA	NA	NA
infection	mesh:D007239	NA	NA	NA
Amoebiasis	mesh:D000562	NA	NA	NA
Staphylococcus aureus infection	mesh:D013203	NA	NA	NA
KAT	NA	NA	NA	NA
