word	source	identifier
Hexosamine	MESH	D006595
Deoxyadenosine	MESH	D003839
Guanosine	MESH	D006151
Arachidonic acid	MESH	D001095
O-GlcNAc	MESH	C097320
Adenine	MESH	D000225
Xanthine	MESH	D019820
UDP	MESH	D014530
N-acetylglucosamine	MESH	C014088
Hypoxanthine	MESH	D019271
Purine	MESH	D011687
Adenosine	MESH	D000241
AMP	MESH	D000249
Inosine	MESH	D007288
Prostaglandin H2	MESH	D044262
Cytosine	MESH	D003596
Glucose	MESH	D005947
Uracil	MESH	D014498
Pyrimidine	MESH	C030986
Phosphorylcholine	MESH	D010767
PRPPUridine		
Cytidine	MESH	D003562
Choline	MESH	D002794
Acetyl-CoA	MESH	D000105
Acetylcarnitine	MESH	D000108
Fatty acid	MESH	D005227
Myristic acid	MESH	D019814
Citrate	MESH	C102006
Totradecanoyle		
Hexadecanoly		
Nicotinate Aspartic acid OAA	MESH	C000588452
Malate	MESH	D008293
Palmitic acid	MESH	D019308
Isocitrate	MESH	D007523
D-proline	MESH	C489032
Palmitoleic acid	MESH	C008757
Glutathione	MESH	D005978
TCA	MESH	C000589078
Niacinamide	MESH	D009536
KG Glutamic acid	MESH	D020410
Glutamine	MESH	C578860
Ammonia3-Oxostearoyl	MESH	D000641
Oleic acid	MESH	D009829
Taurine	MESH	D013654
1-Methinicotinamide	MESH	C100229
Succinate Sucdnyl-CoA	MESH	D013386
Pyroglutamic acid	MESH	D011761
glutathione	MESH	D005978
Nicotinate	MESH	D009525
nicotinamide	MESH	D009536
Ghutathione		
Nitrogen	MESH	D009584
