word	type	identifier
Prephenate	Chemical	MESH:C005550
Phenylpyruvate	Chemical	MESH:C031606
Phenylalanine Ammonia	Chemical	MESH:D000641
PPY	Chemical	MESH:C043710
PPA	Chemical	MESH:D010665
Prephenate	Chemical	MESH:C005550
Phenylalanine	Chemical	MESH:C119108
Phenylalanine Tyrosine	Chemical	MESH:C473904
Arogenate	Chemical	MESH:C015478
Trans-cinnamic acid	Chemical	MESH:C426667
Benzoic acid	Chemical	MESH:D019817
Benzaldehyde	Chemical	MESH:D001547
Tyrosine	Chemical	NA
Ortho-coumaric acid	Chemical	MESH:D003373
glutamate	Chemical	NA
5-DHBA	Chemical	MESH:C067001
SA-2-Sulfonate	Chemical	MESH:C445090
Asp	Chemical	MESH:C108952
MES  MeSA	Chemical	MESH:C544121
2,3-DHBA	Chemical	MESH:C067001
2,3-DHBX	Chemical	MESH:C039620
2,3-DHBG	Chemical	MESH:C037591
2,5-DHBG	Chemical	MESH:C037591
2,5-DHBG	Chemical	MESH:C037591
