word	type	identifier
Ethanol	Chemical	MESH:D000431
Ethanol	Chemical	MESH:D000431
Acetaldehyde DHAP	Chemical	MESH:C017202
Glycerol	Chemical	MESH:D005990
Acetate	Chemical	MESH:D000085
Pyruvate	Chemical	MESH:D011773
Glucose	Chemical	MESH:D005947
Glycerol	Chemical	MESH:D005990
Glucose-6-phosphate	Chemical	MESH:D019298
Fructose-6-phosphate	Chemical	MESH:C027618
Acetyl-CoA	Chemical	MESH:D000105
Acetyl-CoA	Chemical	MESH:D000105
Acetoacetyl-CoA	Chemical	MESH:C010667
Glucose	Chemical	MESH:D005947
FPP	Chemical	MESH:C039834
1-phosphate	Chemical	MESH:D010710
UDP	Chemical	MESH:D014530
Glucose	Chemical	MESH:D005947
Squalene	Chemical	MESH:D013185
Lanosterol	Chemical	MESH:D007810
UTP	Chemical	MESH:D014544
Ergosterol Oleanolic acid	Chemical	MESH:D004875
amyrin	Chemical	MESH:C036380
UDP	Chemical	MESH:D014530
Glucose	Chemical	MESH:D005947
20S-O-B-(D-glucosyl)-dammarenediol II	Chemical	MESH:C106188
2,3-oxidosqualene	Chemical	MESH:C002821
Damarenediol-II	Chemical	MESH:C012877
Protopanaxadiol	Chemical	MESH:C062916
