word	mesh	match	name	chebi
GHB	mesh:C079662	NA	NA	NA
Glutamic acid	mesh:C030030	NA	NA	NA
Glu	mesh:C094686	Glu-Glu	glutamyl-glutamic acid	chebi:5390
GABA	mesh:D005680	gamma-Aminobutyric Acid	gamma-aminobutyric acid	chebi:16865
Succinic acid	mesh:D019802	Succinic Acid	succinic acid	chebi:15741
Glutamine	mesh:C578860	Arg-Gln	arginyl-glutamine	chebi:73813
Gln	mesh:C544323	NA	NA	NA
Amino Acids	mesh:D000596	NA	NA	NA
Acylcarnitines	mesh:C116917	NA	NA	NA
Creatine	mesh:D003401	Creatine	creatine	chebi:16919
