word	mesh	match	name	doid
Congenital Erythropoietic Porphyria	mesh:D017092	NA	NA	NA
ulcers	mesh:D014456	NA	NA	NA
Scleroderma-like lesions	mesh:C543759	NA	NA	NA
Hypertrichosis	mesh:D006983	NA	NA	NA
hypopigmentation	mesh:D017496	NA	NA	NA
Blepharitis	mesh:D001762	NA	NA	NA
Conjunctivitis  Chronic ulcerative keratitis and Scleromalacia	mesh:D003320	NA	NA	NA
Osteodystrophy	mesh:D012080	NA	NA	NA
osteolysis	mesh:D010014	NA	NA	NA
osteoporosis	mesh:D010024	NA	NA	NA
Fractures	mesh:D050723	NA	NA	NA
polychromasia	NA	NA	NA	NA
osmotic hemolysis	mesh:D006461	NA	NA	NA
hepatosplenomegaly	mesh:C535727	NA	NA	NA
