word	type	identifier
Ferulic acid 4- --Caffeic acid	Chemical	MESH:C004999
trans-Cinnamic acid	Chemical	MESH:C426667
Phenylalanine	Chemical	MESH:C119108
Coumaric acid	Chemical	MESH:D003373
Dihydromyricetin	Chemical	MESH:C472036
4-Coumaroyl CoA	Chemical	MESH:C058644
Naringenin chalcone	Chemical	MESH:C027329
Naringenin flavanone	Chemical	MESH:C005273
Dihydrokaemferol	Chemical	NA
Benzaldeyde	Chemical	NA
Dihydromyricetin F3H	Chemical	MESH:C472036
KAEMPFEROL	Chemical	MESH:D044949
Benzoic acid	Chemical	MESH:D019817
Stilbenes	Chemical	MESH:D013267
RES	Chemical	MESH:C466160
