word	mesh	match	name	chebi
age	NA	AGE	NA	chebi:84123
Triglyceride	NA	Triglyceride	NA	chebi:90073
Glucose	NA	Glucose	aldehydo-D-glucose	chebi:42758
Pyruvate	NA	pyruvate	pyruvate	chebi:15361
Protein	NA	Protein	a protein	chebi:16541
Acetyl-CoA	NA	acetyl-CoA	3'-phosphonatoadenosine 5'-(3-{(3R)-4-[(3-{[2-(acetylsulfanyl)ethyl]amino}-3-oxopropyl)amino]-3-hydroxy-2,2-dimethyl-4-oxobutyl} diphosphate)	chebi:57288
Succinyl-CoA	NA	succinyl-CoA	3'-phosphonatoadenosine 5'-{3-[(3R)-4-{[3-({2-[(3-carboxylatopropanoyl)sulfanyl]ethyl}amino)-3-oxopropyl]amino}-3-hydroxy-2,2-dimethyl-4-oxobutyl]diphosphate}	chebi:57292
TCA	NA	TCA	trichloroacetic acid	chebi:30956
Lipopolysaccharide	NA	Lipopolysaccharide	NA	chebi:89981
mRNA	NA	mRNA	mRNA	chebi:33699
Insulin	NA	Insulin	NA	chebi:5931
Triglyceride	NA	Triglyceride	NA	chebi:90073
