word	type	identifier
d-carotene	Chemical	MESH:D002338
carotene	Chemical	MESH:D002338
lutein	Chemical	MESH:D014975
DMAPP	Chemical	MESH:C043060
15-cis-phytoene	Chemical	MESH:C100185
Z-ISO	Chemical	MESH:D007545
trans-lycopene	Chemical	MESH:C015329
capsanthin	Chemical	MESH:C006889
capsorubin	Chemical	MESH:C035624
chlorophylls	Chemical	MESH:D002734
carotene	Chemical	MESH:D002338
B-cryptoxanthin	Chemical	MESH:D065366
zeaxanthin	Chemical	MESH:D065146
antheraxanthin	Chemical	MESH:C031140
violaxanthin	Chemical	MESH:C005613
neoxanthin	Chemical	MESH:C011947
