word	mesh	match	name	doid
cancer	NA	cancer	cancer	DOID:162
carcinoma	NA	carcinoma	carcinoma	DOID:305
carcinoma	NA	carcinoma	carcinoma	DOID:305
Cancer	NA	cancer	cancer	DOID:162
carcinoma	NA	carcinoma	carcinoma	DOID:305
Glioblastoma	NA	glioblastoma	glioblastoma	DOID:3068
cancer	NA	cancer	cancer	DOID:162
Melanoma	NA	melanoma	melanoma	DOID:1909
lung cancer	NA	lung cancer	lung cancer	DOID:1324
Hepatocellular carcinoma	NA	hepatocellular carcinoma	hepatocellular carcinoma	DOID:684
Breast Cancer	NA	breast cancer	breast cancer	DOID:1612
Prostate cancer	NA	prostate cancer	prostate cancer	DOID:10283
renal cell carcinoma	NA	renal cell carcinoma	renal cell carcinoma	DOID:4450
Clear cell renal cell carcinoma	NA	clear cell renal cell carcinoma	clear cell renal cell carcinoma	DOID:4467
