word	mesh	match	name	doid
Insulin deficiency	mesh:D007333	NA	NA	NA
Hyperglycemia	mesh:D006943	NA	NA	NA
Lipotoxicity	NA	NA	NA	NA
Fibrosis	mesh:D005355	NA	NA	NA
fibrosis	mesh:D005355	NA	NA	NA
heart failure	mesh:D006333	Heart Failure	congestive heart failure	doid:6000
ventricular stiffness	mesh:D016750	NA	NA	NA
Renal fibrosis	mesh:D005355	NA	NA	NA
diabetic	mesh:D003920	NA	NA	NA
fibrosis	mesh:D005355	NA	NA	NA
renal insufficiency	mesh:D051437	NA	NA	NA
Liver Fibrosis	mesh:D008103	NA	NA	NA
Retinal glial cell fibrosis	mesh:D012164	NA	NA	NA
vision loss	mesh:D014786	NA	NA	NA
