word	source	identifier
13C	MESH	C513342
O	MESH	D013481
amino acid	MESH	D000596
2-oxo carboxylate	MESH	C503382
tetrahydrofolate	MESH	D013763
ATP	MESH	D000255
5-methyl-tetrahydrofolate	MESH	D013763
L-methionine	MESH	D008715
2-oxo-4-methylthiobutanoate	MESH	C093068
formate	MESH	D005561
S-adenosyl	MESH	C016207
homocysteine	MESH	D006710
adenosine	MESH	D000241
S-adenosyl-L-methionine	MESH	C468227
1,2-dihydroxy-5-(methylthio)pent-1-en-3-one	MESH	C561023
2-aminoprop-2-enoate	MESH	C488802
serine	MESH	C047902
decarboxylated S-adenosyl-L-methionine	MESH	C468227
cystathionine	MESH	D003540
putrescine	MESH	D011700
2-hydroxy-5-(methylthio)-3-oxopent-1-enyl phosphate	MESH	C000596020
acetate	MESH	D000085
(2Z)-2-aminobut	MESH	C097093
spermidine	MESH	D013095
O-acetyl-L-hophoserine	MESH	D000111
methyl-5-thioadenosine	MESH	C063476
cysteine	MESH	D003545
5-(methylthio)-2,3-dioxopentyl phosphate	MESH	C105397
adenine	MESH	D000225
S-methyl-5-thio-D	MESH	C090604
2-oxobutanoate	MESH	C005087
5-methylthioribulose 1-phosphate	MESH	C038238
S-methyl-5-thio-D-ribose 1-phosphate	MESH	C474980
