word	source	identifier
Lactate	MESH	D019344
Glucose	MESH	D005947
Glutamine Glutamate		
Cysteine	MESH	D003545
Glutamine	MESH	C578860
Ribose-5P	MESH	D012266
Proline	MESH	C489032
Arginine	MESH	D001127
Glutamate		
Glutathione	MESH	D005978
Fructose1,6BP	MESH	D005632
Glyceraldehyde	MESH	D005985
Cholesterol	MESH	D002784
Alanine	MESH	D000409
Lactate 3P-Glycerate Serine	MESH	D019344
Glycine Mevalonate	MESH	D008798
Citrate	MESH	C102006
Aspartate		
Pyruvate	MESH	D011773
DHA	MESH	C111716
Asparagine	MESH	C050801
Acetyl	MESH	C011632
TCA	MESH	C000589078
Amino acid	MESH	D000596
