word	type	identifier
Quinaldic	Chemical	MESH:C008898
Kynurenine	Chemical	MESH:C029366
Tryptophan	Chemical	NA
Trp	Chemical	MESH:C509690
Trp	Chemical	MESH:C509690
N-Formylkynurenine	Chemical	MESH:D009584
Kynurenine	Chemical	MESH:C029366
KYNU	Chemical	NA
Quinolinic	Chemical	MESH:D017378
Nicotinic Acid	Chemical	MESH:D009539
NAD	Chemical	MESH:D009243
NAMN	Chemical	NA
NAAD	Chemical	MESH:C053851
NADS	Chemical	MESH:C055737
NADP	Chemical	MESH:D009249
NADPH	Chemical	MESH:D009249
NAD	Chemical	MESH:D009243
NADK	Chemical	NA
Nicotinamide	Chemical	MESH:D009536
riboside	Chemical	MESH:C011651
NMN	Chemical	MESH:C070650
NAD	Chemical	MESH:D009243
NAMPT	Chemical	MESH:C085455
NAD	Chemical	MESH:D009243
NMN	Chemical	MESH:C070650
