word	type	identifier
Pyruvate	Chemical	MESH:D011773
Formate	Chemical	MESH:D005561
CO Methyl	Chemical	MESH:D002245
Acetyl COA	Chemical	MESH:C479798
Acetate	Chemical	MESH:D000085
Acetyl CoA	Chemical	MESH:D000105
Acetyl-phosphate	Chemical	MESH:C011632
Acetyl COA	Chemical	MESH:C479798
Monosaccharides	Chemical	MESH:D009005
Pyruvate	Chemical	MESH:D011773
Acetyl	Chemical	MESH:C011632
Butyryl	Chemical	MESH:C024343
Butyryl-phosphate	Chemical	MESH:C024343
Butyrate	Chemical	MESH:D002087
Pyruvate	Chemical	MESH:D011773
Succinate	Chemical	MESH:D013386
Methylmalonyl	Chemical	MESH:C015357
Propionyl	Chemical	MESH:C009061
Propionate	Chemical	MESH:D011422
Succinate	Chemical	MESH:D013386
Lactate	Chemical	MESH:D019344
Lactoyl	Chemical	MESH:C047009
Acryloyl	Chemical	MESH:C026200
Propionyl	Chemical	MESH:C009061
Propionate	Chemical	MESH:D011422
Acrylate	Chemical	MESH:D000179
