word	mesh	match	name	doid
SARS-CoV-2	mesh:C000657245	NA	NA	NA
COVID	mesh:C000657245	NA	NA	NA
Chronic inflammation	mesh:D007249	NA	NA	NA
SARS-CoV-2	mesh:C000657245	NA	NA	NA
hypertension	mesh:D006973	NA	NA	NA
Pulmonary embolism	mesh:D011655	NA	NA	NA
fibrosis	mesh:D005355	NA	NA	NA
COVID lung function abnormalities	NA	NA	NA	NA
hypoxia	mesh:D000860	NA	NA	NA
Thrombosis	mesh:D013927	NA	NA	NA
Vascular endothelial injury	mesh:D057772	NA	NA	NA
thrombosis	mesh:D013927	NA	NA	NA
Thrombosis	mesh:D013927	NA	NA	NA
