word	type	identifier
Glucose	Chemical	MESH:D005947
D-Glucose	Chemical	MESH:D005947
D-Fructose-6P	Chemical	MESH:D005632
Fructose	Chemical	MESH:D005632
Glyceraldehyde	Chemical	MESH:D005985
Glyceraldehyde	Chemical	MESH:D005985
Phosphoenolpyruvate	Chemical	MESH:D010728
Pyruvate	Chemical	MESH:D011773
Acetyl-P	Chemical	MESH:D010695
Glycerone-P	Chemical	MESH:C003037
Acetone	Chemical	MESH:D000096
Acetyl-CoA	Chemical	MESH:D000105
Formate	Chemical	MESH:D005561
Acetaldehyde Ethanol	Chemical	MESH:D000079
Acetate	Chemical	MESH:D000085
Aceto-acetate	Chemical	MESH:C027745
Butyrate	Chemical	MESH:D002087
Lactate	Chemical	MESH:D019344
Glucose	Chemical	MESH:D005947
D-Glucose	Chemical	MESH:D005947
D-Fructose-6P	Chemical	MESH:D005632
Fructose	Chemical	MESH:D005632
Acetaldehyde	Chemical	MESH:D000079
Acetyl-P	Chemical	MESH:D010695
Butyryl	Chemical	MESH:C024343
BPG	Chemical	MESH:C091495
Phosphoenolpyruvate	Chemical	MESH:D010728
Pyruvate	Chemical	MESH:D011773
Acetyl-CoA	Chemical	MESH:D000105
Acetoacetyl	Chemical	MESH:C010667
3-Hydroxybutyryl	Chemical	MESH:C030372
Crotonyl-CoA	Chemical	MESH:C010701
Butyryl	Chemical	MESH:C024343
Citrate	Chemical	MESH:C102006
TCA	Chemical	MESH:C000589078
aldehyde	Chemical	MESH:D000447
Butanol	Chemical	MESH:D000440
