word	type	identifier
2-Oxobutanoate	Chemical	MESH:C005087
2-Hydroxybutyric acid	Chemical	MESH:C031570
Threonine	Chemical	MESH:C061951
Sarcosine	Chemical	MESH:D012521
Serine	Chemical	MESH:C047902
Hydroxypyruvic acid	Chemical	MESH:C012375
glucose	Chemical	MESH:D005947
3-Methyl-2-oxobutanoic acid	Chemical	MESH:C005087
Pyruvate	Chemical	MESH:D011773
Acetyl-CoA	Chemical	MESH:D000105
Tricarboxylic	Chemical	MESH:D014233
L-Leucine	Chemical	MESH:C027819
L-Valine	Chemical	MESH:C035810
L-Isoleucine	Chemical	MESH:C043801
triglycerides	Chemical	MESH:D014280
