word	type	identifier
Heme B	Chemical	MESH:D006418
NADP	Chemical	MESH:D009249
Fe2+	Chemical	MESH:D007501
NADPH	Chemical	MESH:D009249
Fe2+	Chemical	MESH:D007501
Plastoquinone	Chemical	MESH:D010971
CysG	Chemical	MESH:C046557
ATP	Chemical	MESH:D000255
Mg2+	Chemical	MESH:D008274
Mg-Protoporphyrin	Chemical	MESH:C039629
ADP	Chemical	MESH:D000244
Protoporphyrin	Chemical	MESH:D011524
S-adenosyl-L- S-adenosyl	Chemical	MESH:C016207
homocystein L-methionine	Chemical	MESH:D008715
ChlH	Chemical	MESH:C490649
Protoporphyrinogen IX	Chemical	MESH:C011539
ATP	Chemical	MESH:D000255
L-methioine	Chemical	MESH:C025076
CO2	Chemical	MESH:D002245
5-deoxyadenosine	Chemical	MESH:C033714
S-adenosyl-L-methionine	Chemical	MESH:C468227
L-glutamyl	Chemical	MESH:C097376
AMP	Chemical	MESH:D000249
L-glutamate	Chemical	NA
NADPH	Chemical	MESH:D009249
Uroporphyrinogen	Chemical	MESH:D014577
NADP	Chemical	MESH:D009249
4-amino-5	Chemical	MESH:D000596
oxopentanoate	Chemical	MESH:C430524
5-aminolevulinate	Chemical	MESH:D000622
Hydroxymethylbilane	Chemical	MESH:C024393
