word	mesh	match	name	doid
carcinoma	NA	carcinoma	carcinoma	DOID:305
cancer	NA	cancer	cancer	DOID:162
cancer	NA	cancer	cancer	DOID:162
cancer	NA	cancer	cancer	DOID:162
cancer	NA	cancer	cancer	DOID:162
cancer	NA	cancer	cancer	DOID:162
cancer	NA	cancer	cancer	DOID:162
cancer	NA	cancer	cancer	DOID:162
lymphoma	NA	lymphoma	lymphoma	DOID:0060058
lung cancer	NA	lung cancer	lung cancer	DOID:1324
Prostate cancer	NA	prostate cancer	prostate cancer	DOID:10283
Breast cancer	NA	breast cancer	breast cancer	DOID:1612
Ovarian cancer	NA	ovarian cancer	ovarian cancer	DOID:2394
Skin cancer	NA	skin cancer	skin cancer	DOID:4159
Burkitt lymphoma	NA	Burkitt lymphoma	Burkitt lymphoma	DOID:8584
