word	type	identifier
Glucose	Chemical	MESH:D005947
Phosphate	Chemical	MESH:D010710
Hexosamine	Chemical	MESH:D006595
Pyruvate	Chemical	MESH:D011773
Lactate	Chemical	MESH:D019344
Lactate	Chemical	MESH:D019344
Ac	Chemical	MESH:D000186
Ac	Chemical	MESH:D000186
Citrate	Chemical	MESH:C102006
TCA	Chemical	MESH:C000589078
NADPH	Chemical	MESH:D009249
Pyruvate	Chemical	MESH:D011773
ATP	Chemical	MESH:D000255
NADH	Chemical	MESH:D009243
FADH	Chemical	MESH:C058805
Glutamine	Chemical	MESH:C578860
Glutamine	Chemical	MESH:C578860
Glutamate	Chemical	NA
Mevalonate	Chemical	MESH:D008798
Tryptophan	Chemical	NA
Amino acids	Chemical	MESH:D000596
Kynurenine ATP AMP Adenosine	Chemical	MESH:D000255
